representation,vertices,density,instances,average_time_ns
list,10,0.25,100,4257
matrix,10,0.25,100,4597
list,10,0.5,100,6161
matrix,10,0.5,100,8412
list,10,0.75,100,8245
matrix,10,0.75,100,7364
list,10,1,100,8388
matrix,10,1,100,7428
list,50,0.25,100,38424
matrix,50,0.25,100,45643
list,50,0.5,100,37581
matrix,50,0.5,100,52408
list,50,0.75,100,42149
matrix,50,0.75,100,51650
list,50,1,100,47700
matrix,50,1,100,48672
list,100,0.25,100,74460
matrix,100,0.25,100,125352
list,100,0.5,100,100269
matrix,100,0.5,100,166724
list,100,0.75,100,120610
matrix,100,0.75,100,158513
list,100,1,100,136496
matrix,100,1,100,140005
list,500,0.25,100,833765
matrix,500,0.25,100,2036303
list,500,0.5,100,1180400
matrix,500,0.5,100,2726012
list,500,0.75,100,1510854
matrix,500,0.75,100,2292333
list,500,1,100,1818072
matrix,500,1,100,1856560
list,1000,0.25,100,2477997
matrix,1000,0.25,100,7317049
list,1000,0.5,100,3790250
matrix,1000,0.5,100,10100035
list,1000,0.75,100,5049590
matrix,1000,0.75,100,8189679
list,1000,1,100,6305884
matrix,1000,1,100,6392403
